rec	Station	Crime type
1020		negligently permitting domestic animals into a wildlife protecte
1021		illegal entry into a wildlife protected area
1022		illegal entry into a wildlife protected area
1023		illegal entry into a wildlife protected area
1024		illegal entry into a wildlife p[rotecetd area
1025		illegal entry into a wildlife protected area
1026		Iillegal entry into a wildlife protected area
1027		illegal entry into a wildlife protected area
1028		illegal entry into a wildlife proteceted proteceted area
1029		illegal entry into awildlife protected area
1030		Illegal entry into a protected area.
1031		Illegal entry into a eildlife protected area.
1032		Illegal entry into a wildlife protected area
1033		Illegal entry
1034		Illegal entry into a wildlife protected area
1035		Illegal entry into a wildlife protected area
1036		Illegal entry into a wildlife protected area
1037		Illegal entry into a wildlife protecte area
1038		Negligently permitting domestic animals into a wildlife protecte
1039		Illegal entry into a wildlife protected area
1040		Illegal entry into a wildlife protected area
1041		Illegal entry into a wildlife  protected area
1042		I
1043		Illegal entry into a wildlife protected area
1044		Negligently permitting domestic animals into a wildlife protecte
1045		Negligently permitting domestic animals into a wildlife protject
